title,location,link
Compact Cameras,Unknown,/dgital-compact-cameras/
SLR Digital Cameras,Unknown,/digital-slr-cameras/
Professional Video Cameras,Unknown,/professional-video-cameras/
Sport & Action Cameras,Unknown,/action-4865/
Instant Cameras,Unknown,/mlp-instant-camera/
Drones with Camera,Unknown,/quadcopters-video-quadcopters-accessories/
Home Theatre Systems,Unknown,/home-theatre/
Receivers & Amplifiers,Unknown,/home-theatre-systems-receivers-amplifiers/
LG Home Theater System,Unknown,/home-theatre/lg/
Hisense Sound Bar,Unknown,/home-theatre-systems-sound-bars/hisense/
Bluetooth Speakers,Unknown,/bluetooth-speakers/
Generators & Portable Power,Unknown,/generators-portable-power/
Power Inverters,Unknown,/inverters/
Solar & Wind Power,Unknown,/solar-wind-power/
Lithium Battery,Unknown,/lithium-battery/
Battery Charger,Unknown,/household-battery-chargers/
Women's Fashion,Unknown,/womens-fashion/?source=flmenu
Accessories,Unknown,/womens-fashion-accessories/
Handbags & Wallets,Unknown,/womens-bags/
Underwear & Sleepwear,Unknown,/womens-fashion-underwear-sleepwear/
Traditional,Unknown,/womens-traditional/
Beach & Swimwear,Unknown,/womens-beach-swimwear/
Women Costumes & Accessories,Unknown,/womens-costumes-accessories/
Kid's Fashion,Unknown,/kids-fashion/
Boy's Fashion,Unknown,/boys-fashion/
Girl's Fashion,Unknown,/teen-girls-fashion/
Men's Fashion,Unknown,/mens-fashion/?source=flmenu
Accessories,Unknown,/mens-fashion-accessories/
Underwear & Sleepwear,Unknown,/mens-underwear-sleepwear/
Traditional & Cultural Wear,Unknown,/fashion-mens-fashion-traditional-cultural-wear/
Polo Shirts,Unknown,/mens-polos/
Trousers & Chinos,Unknown,/mens-pants/
ALL FASHION,Unknown,/category-fashion-by-jumia/
Luggage & Travel Gear,Unknown,/luggage-travel-gear/
Traditional & Cultural Wear,Unknown,/traditional-cultural-wear/
"Uniforms, Work & Safety",Unknown,/uniforms-work-safety-fashion/
Men's Watches,Unknown,/mens-watches/
Women's Watches,Unknown,/womens-watches/
Men's Sunglasses,Unknown,/mens-sunglasses/
Women's Sunglasses,Unknown,/womens-accessories-sunglasses/
Supermarket,Unknown,https://www.jumia.com.ng/groceries/
Food Cupboard,Unknown,/food-cupboard-supplies/
Grains & Rice,Unknown,/dried-beans-grains-rice/
Pasta & Noodles,Unknown,/noodles-3404/
"Herbs, Spices & Seasoning",Unknown,/herbs-spices-seasonings/
Malt Drinks,Unknown,/malt-drinks/
Cooking Oil,Unknown,/cooking-oil/
Milk & Cream,Unknown,/grocery-milk-cream/
Energy Drink,Unknown,/energy-drinks/
Bottled Beverages,Unknown,/bottled-beverages-water-drink-mixes/
Household Cleaning,Unknown,/household-cleaning/
Air Fresheners,Unknown,/air-fresheners-d/
Toilet Paper & Wipes,Unknown,/wet-wipes/
Bathroom Cleaners,Unknown,/household-bathroom-toilet-cleaners/
Dishwashing,Unknown,/dishwashing-products/
Cleaning Tools,Unknown,/household-cleaning-tools/
"Beer, Wine & Spirits",Unknown,/beers-wine-spirits/
Champagne & Sparkling Wine,Unknown,/champagne-sparkling-wine/
Baby Products,Unknown,/baby-products/
Disposable Diapers,Unknown,/baby-disposable-diapers/
Bottle Feeding,Unknown,/baby-bottle-feeding/
Wipes & Refills,Unknown,/baby-wipes-refills/
Gaming Laptops,Unknown,/gaming-laptops/
HP Elitebook,Unknown,/mlp-hp-elitebook/
Dell Latitude,Unknown,/mlp-dell-latitude/
Lenovo Thinkpad,Unknown,/mlp-lenovo-thinkpad/
Asus Zenbook,Unknown,/mlp-asus-zenbook/
Data Storage,Unknown,/computer-data-storage/
External Hard Drives,Unknown,/external-hd/
USB Flash Drives,Unknown,/flash-drives/
External Solid State,Unknown,/external-solid-state-drives/
Inkjet Printers,Unknown,/inkjet-printers/
Laser Printers,Unknown,/laser-printers/
Printer Ink & Toner,Unknown,/printer-ink-toner/
Computer Accessories,Unknown,/computing-accessories/
Keyboards & Mice,Unknown,/keyboards-mice-accessories/
PC Gaming Hardware,Unknown,/computer-pc-game-hardware-d/
Uninterrupted Power Supply,Unknown,/battery-backup-ups/
Memory Cards,Unknown,/computer-memory-cards/
Video Projectors,Unknown,/video-projectors-d/
Bluetooth Keyboards,Unknown,/mlp-bluetooth-keyboard/
Bluetooth Mouse,Unknown,/mlp-bluetooth-mouse/
Baby Products,Unknown,/baby-products/
Apparel & Accessories,Unknown,/kiddies-accessories/
Disposable Diapers,Unknown,/baby-disposable-diapers/
Diaper Bags,Unknown,/baby-diaper-bags/
Wipes & Holders,Unknown,/baby-wipe-holders-warmers/
Baby & Toddler Toys,Unknown,/baby-toddler-toys/
Activity Play Centers,Unknown,/baby-play-mats-activity-gyms/
Music & Sound,Unknown,/baby-music-sound-toys/
Bathing & Skin Care,Unknown,/baby-bathing-skin-care/
Washcloths & Towels,Unknown,/baby-washcloths-towels/
Grooming & Healthcare Kits,Unknown,/baby-grooming-healthcare-kits/
Bathing Tubs & Seats,Unknown,/baby-bath-tubs-seats/
Bathroom Safety,Unknown,/baby-bathroom-safety/
Bibs & Burp Cloths,Unknown,/baby-bibs-burp-cloths/
Breastfeeding,Unknown,/baby-breastfeeding/
Bottle-Feeding,Unknown,/baby-bottle-feeding/
Pacifiers & Accessories,Unknown,/baby-pacifiers-accessories/
Food Storage,Unknown,/baby-food-storage-on-the-go/
Highchairs & Booster Seats,Unknown,/baby-highchairs-boosters/
Solid Feeding,Unknown,/baby-solid-feeding/
Backpacks & Carriers,Unknown,/baby-carriers-backpacks/
"Swings, Jumpers & Bouncers",Unknown,/baby-swing-jumpers-bouncers/
PlayStation,Unknown,/playstation-games/
Playstation 5,Unknown,/playstation-5/
Playstation 4,Unknown,/playstation-4/
Playstation 3,Unknown,/playstation-3/
Playstation,Unknown,/retro-gaming-playstation/
Playstation Vita,Unknown,/playstation-vita/
Nintendo 3DS,Unknown,/nintendo-3ds/
Nintendo DS,Unknown,/nintendo-ds/
Nintendo Switch,Unknown,/nintendo-switch/
Nintendo Wii,Unknown,/nintendo-wii/
FIFA '23 PS5,Unknown,/catalog/?q=fifa+23+ps5
PES '23 PS4,Unknown,/catalog/?q=fifa+23+ps4
Call of Duty,Unknown,/call-of-duty/
Assassin's Creed Valhalla,Unknown,/catalog/?q=Assassin%27s+Creed+Valhalla
The Last Of Us,Unknown,/catalog/?q=the+last+of+us&shipped_from=country_local#catalog-listing
The Witcher 3,Unknown,/the-witcher-3/
Metal Gear Solid,Unknown,/metal-gear-solid/
Grand Theft Auto,Unknown,/grand-theft-auto/
Musical Instruments,Unknown,/musical-instruments/
Musical Instruments,Unknown,/musical-instruments/
Drums & Percussion,Unknown,/drums-and-percussion/
Keyboards & MIDI,Unknown,/keyboards-midi/
Wind & Woodwind Instruments,Unknown,/wind-woodwind-instruments/
Band & Orchestra,Unknown,/band-orchestra/
Studio & Live Equipment,Unknown,/studio-recording-equipment/
Live Sound & Stage,Unknown,/live-sound-stage/
Studio Recording Equipment,Unknown,/studio-recording-equipment/
Electronic Music & DJ Equipment,Unknown,/electronic-music-dj-karaoke/
Amplifiers & Effects,Unknown,/muscial-amplifiers-effects/
Amplifiers & Effects,Unknown,/muscial-amplifiers-effects/
Toys & Games,Unknown,/toys-games/
Dress Up & Pretend Play,Unknown,/dress-up-pretend-play/
Sports & Outdoor Play,Unknown,/outdoor-sports-toys/
Car Electronics & Accessories,Unknown,/car-electronics-accessories/
Lights & Lighting Accessories,Unknown,/automobile-lights-lighting-accessories/
Exterior Accessories,Unknown,/automobile-exterior-accessories/
Oils & Fluids,Unknown,/oils-fluids/
Interior Accessories,Unknown,/automobile-interior-accessories/
Tyre & Rims,Unknown,/tyre-rim/
Sporting Goods,Unknown,/sporting-goods/
Cardio Training,Unknown,/cardio-training/
Strength Training Equipment,Unknown,/strength-training-equipment/
Accessories,Unknown,/exercise-fitness-accessories/
Team Sports,Unknown,/team-sports/
Outdoor & Adventure,Unknown,/sporting-goods-outdoor-adventure/
"Books, Movies and Music",Unknown,/books-movies-music/
Pet Supplies,Unknown,/pet-supplies/
Jumia Global,Unknown,https://www.jumia.com.ng/mlp-global-stores/
Official Stores,Unknown,https://www.jumia.com.ng/mlp-official-stores/
Reckitt Benckiser,Unknown,/mlp-reckitt-benckiser-store/
Food Cupboards,Unknown,/food-cupboard-supplies/
Baby Products,Unknown,/baby-products/
Plastic & Paper Products,Unknown,/paper-plastic-household-supplies/
Household Cleaning,Unknown,/household-cleaners/
"Beer, Wine & Spirits",Unknown,/beers-wine-spirits/
Garden & Outdoors,Unknown,/patio-lawn-garden/
Industrial & Scientific,Unknown,/industrial-scientific/
Miscellaneous,Unknown,/miscellaneous/
"CALL TO ORDER0700-600-0000, 02018883300",Unknown,https://www.jumia.com.ng/sp-calltoorder/
Sell on Jumia,Unknown,https://vendorcenter.jumia.com/sign-up
Send Your Packages,Unknown,https://www.jumia.com.ng/sp-jumia-delivery/
TV & Audio Deals,Unknown,https://www.jumia.com.ng/electronics/
Up to 50% Off,Unknown,https://www.jumia.com.ng/mlp-buy-one-get-one-free/#catalog-listing
Phones & Tablets Deals,Unknown,https://www.jumia.com.ng/phones-tablets/
Up to 80% Off,Unknown,https://www.jumia.com.ng/mlp-clearance-sale/
Appliances Deals,Unknown,https://www.jumia.com.ng/mlp-appliances/
"SILVER CREST 2L Industrial 8500W 9525 Motor Dry Grinder Blender With 2 Jar₦ 27,280422 items left",Unknown,/silver-crest-2l-industrial-8500w-9525-motor-dry-grinder-blender-with-2-jar-398701948.html
"Syinix 2.2L Electric Kettle - Silver₦ 6,816487 items left",Unknown,/electric-kettle-2.2l-silver-syinix-mpg8223162.html
"XIAOMI REDMI A5 -  6.88   4GB RAM/128GB ROM  -- Black₦ 113,78937 items left",Unknown,/xiaomi-redmi-a5-6.88-4gb-ram128gb-rom-black-408322875.html
"TINMO 10 Liters Airfryer + 12 Months Warranty₦ 53,0739%50 items left",Unknown,/10-liters-airfryer-12-months-warranty-tinmo-mpg10232756.html
"XIAOMI REDMI A5 -  6.88   3GB RAM/64GB ROM  -- Black₦ 98,63234 items left",Unknown,/xiaomi-redmi-a5-6.88-3gb-ram64gb-rom-black-408323169.html
"TCL 55 Inches UHD 4k Google Smart TV (55P635) + 1 Year Warranty₦ 459,55014%48 items left",Unknown,/tcl-55-inches-uhd-4k-google-smart-tv-55p635-1-year-warranty-402815548.html
"Samsung GALAXY A56 6.7"" 8GB RAM/128GB ROM -  Awesome Graphite₦ 573,96813 items left",Unknown,/samsung-galaxy-a56-6.7-8gb-ram128gb-rom-awesome-graphite-407383843.html
"High-Precision Medical Pulse Oximeter₦ 20,09920%30 items left",Unknown,/generic-high-precision-medical-pulse-oximeter-398690030.html
"Kids Deformation Tank Toy With Lighting & Music₦ 22,89931%30 items left",Unknown,/generic-kids-deformation-tank-toy-with-lighting-music-385520673.html
"All-Season Universal Large Capacity Insulated Cola Cup-Red₦ 24,0008%4 items left",Unknown,/generic-all-season-universal-large-capacity-insulated-cola-cup-red-394248462.html
"Men's Industrial Safety Boots With Steel Toe, Kevlar Midsole₦ 57,299 - ₦ 63,00012%16 items left",Unknown,/generic-mens-industrial-safety-boots-with-steel-toe-kevlar-midsole-399706752.html
"Balila Unisex Perfume₦ 2,99970%33 items left",Unknown,/balila-unisex-perfume-334572584.html
"SADOER 12pcs Fruit Face Mask & Anti Wrinkle Moisturizing Skin Care₦ 4,49936%25 items left",Unknown,/sadoer-12pcs-fruit-face-mask-anti-wrinkle-moisturizing-skin-care-293052507.html
"VIC ♛20000mAh Power Banks, Portable Charger Ultra Slim Battery Pack₦ 7,49062%287 items left",Unknown,/vic-20000mah-power-banks-portable-charger-ultra-slim-battery-pack-347714382.html
"Wireless Bluetooth Headsets Earphones Earpods 5.4₦ 6,8502%44 items left",Unknown,/generic-wireless-bluetooth-headsets-earphones-earpods-5.4-395529528.html
Send Packages Securely,Unknown,https://www.jumia.com.ng/sp-jumia-delivery/
Beauty Must Haves,Unknown,https://www.jumia.com.ng/health-beauty/
Grab It Fast,Unknown,https://www.jumia.com.ng/mlp-global-new-arrival/?sort=newest
Fashion deals,Unknown,https://www.jumia.com.ng/category-fashion-by-jumia/
Home Essentials,Unknown,https://www.jumia.com.ng/home-office/
Up to 60% Off,Unknown,https://www.jumia.com.ng/mlp-banger-deals/?sort=newest
"Ace Elec 20000 MAh Ultra Slim Portable Power Bank₦ 8,000",Unknown,/ace-elec-20000-mah-ultra-slim-portable-power-bank-239880320.html
"ECOFLOW RIVER 2 Pro 768Wh 800W Portable Power Station₦ 557,99947%",Unknown,/ecoflow-river-2-pro-768wh-800w-portable-power-station-261415660.html
"SILVER CREST 2L Industrial 8500W 9525 Motor Dry Grinder Blender With 2 Jar₦ 27,280",Unknown,/silver-crest-2l-industrial-8500w-9525-motor-dry-grinder-blender-with-2-jar-398701948.html
"Beige Low Heel Court Shoe₦ 21,00050%",Unknown,/beige-low-heel-court-shoe-408040142.html
"SOLITEC STANDING FAN 18 INCHES₦ 19,506",Unknown,/standing-fan-18-inches-solitec-mpg10055692.html
"NIVEA Radiant & Beauty Even Glow Body Lotion For Women - 400ml - Pack Of 2₦ 9,11020%",Unknown,/nivea-radiant-beauty-even-glow-body-lotion-for-women-400ml-pack-of-2-104325862.html
"7 Steps Laptop Stand Desktop Stand Can Be Adjusted₦ 3,32228%",Unknown,/generic-7-steps-laptop-stand-desktop-stand-can-be-adjusted-273843877.html
"Sun King Solar Fan With 20W Solar Panel₦ 115,00015%",Unknown,/sun-king-solar-fan-with-20w-solar-panel-71338441.html
